ExpansionSet,Name,Type,Age,Description,Icon,3 players,4 players,5 players,6 players,7 players,Cost,Chains to (1),Chains to (2),Effect Category,Military shields granted,Resource effects,Science symbol,"Coins/Points affects (P = player, N = neighbours, B = both player & neighbours)",Coins/Points structure category applies to,Coins/Points: coins given when structure is built multiplier,Coins/points: Victory Points given,Wonder Stage,StructureDiscount
Original,Lumber Yard,RawMaterial,1,Provides 1 wood resource,wood_1,1,2,2,2,2,,,,Resource,,W,,,,,,,
Original,Stone Pit,RawMaterial,1,Provides 1 stone resource,stone_1,1,1,2,2,2,,,,Resource,,S,,,,,,,
Original,Clay Pool,RawMaterial,1,Provides 1 clay resource,clay_1,1,1,2,2,2,,,,Resource,,B,,,,,,,
Original,Ore Vein,RawMaterial,1,Provides 1 ore resource,ore_1,1,2,2,2,2,,,,Resource,,O,,,,,,,
Original,Tree Farm,RawMaterial,1,Provides 1 wood OR 1 clay resource,wood_clay,0,0,0,1,1,1,,,Resource,,WB,,,,,,,
Original,Excavation,RawMaterial,1,Provides 1 stone OR 1 clay resource,stone_clay,0,1,1,1,1,1,,,Resource,,SB,,,,,,,
Original,Clay Pit,RawMaterial,1,Provides 1 clay OR 1 ore resource,clay_ore,1,1,1,1,1,1,,,Resource,,BO,,,,,,,
Original,Timber Yard,RawMaterial,1,Provides 1 stone OR 1 wood resource,stone_wood,1,1,1,1,1,1,,,Resource,,SW,,,,,,,
Original,Forest Cave,RawMaterial,1,Provides 1 wood OR 1 ore resource,wood_ore,0,0,1,1,1,1,,,Resource,,WO,,,,,,,
Original,Mine,RawMaterial,1,Provides 1 ore OR 1 stone resource,stone_ore,0,0,0,1,1,1,,,Resource,,OS,,,,,,,
Original,Loom,Goods,1,Provides 1 cloth,cloth,1,1,1,2,2,,,,Resource,,C,,,,,,,
Original,Glassworks,Goods,1,Provides 1 glass,glass,1,1,1,2,2,,,,Resource,,G,,,,,,,
Original,Press,Goods,1,Provides 1 papyrus,papyrus,1,1,1,2,2,,,,Resource,,P,,,,,,,
